context_len,source_type,entropy_bin,n,entropy_mean,entropy_min,entropy_max,empirical_accept_rate,mean_alpha_sampled,mean_exact_accept_prob,mean_q_sample,mean_p_sample,mean_target_entropy,empirical_accept_se
128,chat,9,500,6.2299986,5.6486454,7.935136,0.096,0.08969403,0.07469722,0.012486931,0.021694472,1.1276674,0.013174520864152897
128,code,0,500,0.5014906,0.0063472316,1.0193825,0.822,0.8238339,0.80578244,0.8964117,0.81432956,0.15193869,0.01710648999648964
128,code,1,500,1.569675,1.0196767,2.094351,0.478,0.47620115,0.5160008,0.5343483,0.43910983,0.29134804,0.0223390241505756
128,code,2,500,2.5403929,2.09544,2.936757,0.324,0.3162881,0.3291725,0.3231272,0.2618433,0.4673524,0.020929596269398033
128,code,3,500,3.2613184,2.9375076,3.5960894,0.222,0.22087364,0.25580385,0.1816301,0.17573057,0.5099416,0.018585801031970616
128,code,4,500,3.9440422,3.597328,4.2693977,0.184,0.19059172,0.20265889,0.13376452,0.13414112,0.63307565,0.017328819925199752
128,code,5,500,4.574155,4.2704687,4.86942,0.154,0.16123831,0.1540675,0.08563183,0.08807846,0.7187552,0.01614211882003103
128,code,6,500,5.1653743,4.8715014,5.446062,0.086,0.09199485,0.10596163,0.047492944,0.046335,0.79006785,0.012538261442480771
128,code,7,500,5.7139,5.446491,5.9688296,0.074,0.08112043,0.082023524,0.026796458,0.025960874,0.9179251,0.011706750189527408
128,code,8,500,6.2368884,5.9700284,6.502768,0.066,0.06833738,0.066771716,0.016368108,0.02415061,0.9414169,0.011103512957618413
128,code,9,500,6.8552723,6.502952,7.7849083,0.046,0.054402694,0.050248906,0.0072202655,0.0097666625,1.0685638,0.00936845771725528
128,json_config,0,500,0.84397894,0.015851686,0.9722724,0.528,0.5292608,0.53043294,0.81832916,0.51143974,0.09575397,0.022325590697672478
128,json_config,1,500,1.1354798,0.97264236,1.3541915,0.388,0.3893505,0.39576477,0.74684876,0.38524544,0.023290318,0.021792475765731623
128,json_config,2,500,1.4541368,1.3544406,1.5359877,0.774,0.77295995,0.7421407,0.64031494,0.772345,0.005034227,0.01870422412183943
128,json_config,3,500,1.610738,1.5364134,1.698244,0.724,0.7244057,0.72620475,0.57755756,0.7230447,0.011078667,0.01999119806314769
128,json_config,4,500,1.8046939,1.6983373,1.9464254,0.718,0.7200377,0.7149066,0.5704134,0.71748424,0.014932709,0.020123419192572618
128,json_config,5,500,3.07483,1.9477435,3.9428,0.324,0.32564768,0.2971209,0.2796433,0.29552618,0.2189688,0.020929596269398033
128,json_config,6,500,4.4904695,3.9428606,4.9743476,0.06,0.062156115,0.060529392,0.084923275,0.02456445,0.365806,0.010620734437881401
128,json_config,7,500,5.2350254,4.9744315,5.6313334,0.052,0.047462326,0.036062974,0.07486973,0.034391623,0.25015265,0.00992935043192655
128,json_config,8,500,6.361093,5.6318383,6.625103,0.104,0.10195131,0.09516251,0.014778396,0.0070365136,2.7088387,0.013651666564928987
128,json_config,9,500,6.846544,6.6257997,7.801675,0.094,0.08623025,0.095216766,0.007847451,0.0031147627,3.1655512,0.013050976974924139
128,math,0,500,0.49923667,0.0018669551,1.0047212,0.816,0.8177344,0.8112924,0.85780543,0.8079404,0.108751096,0.017328819925199756
128,math,1,500,1.4539753,1.0079012,1.8236847,0.526,0.5271827,0.55417645,0.5332024,0.4851079,0.23993921,0.022330427671677047
128,math,2,500,2.1055567,1.8251221,2.405703,0.38,0.38128743,0.3820687,0.3473386,0.31484777,0.39180753,0.021707141681944216
