sample_id,context_len,draft_entropy_nats,draft_entropy_norm,target_entropy_nats,sampled_token_id,q_sample,p_sample,alpha_sampled,accepted,exact_accept_prob,q_max,p_at_q_argmax
1234,64,1.2101171,0.11665475,0.10535133,418,0.8218336,4.655718e-05,5.6650373e-05,0,0.04070092,0.8218336,4.655718e-05
1235,64,3.3255115,0.32057783,1.606041,29900,0.18984988,0.03612291,0.19027092,0,0.39275545,0.18984988,0.03612291
1236,64,4.0582023,0.39120892,3.6102276,29889,0.09346065,0.0057654437,0.06168846,0,0.21249479,0.09346065,0.0057654437
1237,64,3.3235989,0.32039347,0.34825346,29906,0.14163636,0.007297017,0.05151938,0,0.09575685,0.1472785,0.012608116
1238,64,2.5999756,0.25063652,2.287652,29896,0.15029863,0.09126238,0.607207,1,0.5327026,0.2897082,0.06272366
1239,64,1.5760972,0.15193509,2.3190238,29929,0.02310948,0.09582656,1.0,1,0.30904838,0.66488755,0.0030803399
1240,64,1.0033545,0.09672294,0.033912513,1115,0.8704913,0.9947253,1.0,1,0.8757543,0.8704913,0.9947253
1241,64,5.9601383,0.57455474,4.816122,3646,0.033966854,0.017883547,0.5264999,0,0.3774264,0.2232289,0.19992526
1242,64,4.869295,0.4693979,0.001449149,1678,0.10128781,3.4193743e-06,3.375899e-05,0,0.00012607545,0.10128781,3.4193743e-06
1243,64,2.810861,0.27096578,0.6808535,29929,0.04105305,0.00037047477,0.009024293,0,0.08112107,0.17556162,0.010659005
1244,64,1.3477383,0.12992138,2.368118,29892,0.7672388,0.0012437141,0.0016210261,0,0.12989722,0.7672388,0.0012437141
1245,64,4.528575,0.43655264,2.679255,30210,0.08669749,0.0036778091,0.042421173,0,0.40406242,0.23937944,0.6481954
1246,64,4.168455,0.40183723,0.7595728,1059,0.0027613451,5.398094e-10,1.9548784e-07,0,0.12218624,0.14107782,0.032020867
1247,64,2.9352756,0.28295928,0.002612901,29941,0.07726057,2.7356393e-08,3.5407962e-07,0,0.007101679,0.14321847,1.3256529e-07
1248,64,1.9340943,0.18644585,0.00023603995,19672,7.5873954e-06,3.8753484e-12,5.1076137e-07,0,0.6149231,0.61490476,0.99998164
1249,64,2.6886048,0.25918034,2.321773,29929,0.071666196,0.10111452,1.0,1,0.805891,0.1447697,0.10596711
1250,64,1.8268621,0.1761087,0.09170371,539,0.007497069,2.4674853e-06,0.00032912666,0,0.71728677,0.7127991,0.9900822
1251,64,4.1717434,0.40215424,0.0006695633,525,0.009820489,2.9857635e-12,3.040341e-10,0,7.6538956e-05,0.21748444,3.7635746e-05
1252,64,1.2355347,0.119105,0.124809414,418,0.8184898,4.978976e-05,6.0831255e-05,0,0.043759707,0.8184898,4.978976e-05
1253,64,0.72876847,0.07025296,7.2781613e-06,284,0.90647477,0.99999964,1.0,1,0.9064751,0.90647477,0.99999964
1254,64,4.2065406,0.40550867,2.762104,30622,0.0043515284,2.9156201e-05,0.006700221,0,0.20902047,0.22670555,0.0238538
1255,64,2.5553684,0.2463364,1.9199216,29896,0.2239515,0.053579107,0.23924424,0,0.64581156,0.2239515,0.053579107
1256,64,3.5902376,0.34609732,0.073422775,533,0.21772751,0.0003558691,0.0016344701,0,0.04757816,0.21772751,0.0003558691
1257,64,2.3337007,0.22496772,0.02501757,6160,0.0040548528,2.919838e-09,7.200848e-07,0,0.67989856,0.6766146,0.99670523
1258,64,0.3131335,0.030185932,1.1968551,29889,0.9611563,0.7319094,0.76148844,1,0.7565032,0.9611563,0.7319094
1259,64,5.601216,0.5399547,0.0005178035,525,0.01392077,2.0202934e-12,1.4512799e-10,0,8.087598e-05,0.20139274,3.6478268e-05
1260,64,5.2670913,0.50774527,2.1740663,30392,0.009782919,0.0009786317,0.100034736,0,0.237932,0.09137874,0.64083695
1261,64,3.9339814,0.37923408,1.0813628,15028,0.0014399872,0.0013429982,0.9326459,0,0.53326744,0.41033667,0.7821857
1262,64,2.9131155,0.28082305,2.3012543,29892,0.39426795,0.0016646531,0.0042221365,0,0.33519176,0.39426795,0.0016646531
1263,64,1.1682767,0.11262136,0.30329534,29889,0.8346553,0.09008923,0.10793585,1,0.10640402,0.8346553,0.09008923
1264,64,2.8899117,0.2785862,0.7128769,29900,0.10104507,2.0098072e-05,0.00019890205,0,0.053718228,0.14933492,0.0009913439
1265,64,2.3376527,0.2253487,2.2592082,29900,0.17361104,0.1439313,0.8290446,0,0.4993929,0.38217548,0.0004405522
1266,64,0.49899966,0.048103347,0.002277551,166,0.005387198,3.6037375e-07,6.689446e-05,0,0.9204232,0.92025465,0.9998134
1267,64,2.8672764,0.2764042,1.4785937,1873,4.0211966e-05,2.605433e-06,0.064792484,0,0.7007153,0.5940689,0.68829584
