t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,uses_subset,contained_waste,no_delay_ok
7,primary_only,12,Fast,{'Fast': 10},5.733823330830884,82.85677213432093,0.06920162568649979,1,0,0,0,1
7,random_residual,12,Fast,"{'Fast': 10, 'Balanced': 2}",6.425854655556239,82.85677213432093,0.07755376525094587,2,0,0,0,1
8,proposed,32,Balanced,"{'Balanced': 10, 'Accurate': 5, 'Fast': 10}",9.008497725290662,90.57629111397428,0.09945756902272646,3,0,0,0,1
8,best_all,32,Balanced,{'Balanced': 32},7.834784173027774,153.00413156471768,0.05120635693235393,1,0,0,0,1
8,primary_only,32,Balanced,{'Balanced': 10},6.355843528633312,90.57629111397428,0.07017116124390217,1,0,0,0,1
8,random_residual,32,Balanced,"{'Balanced': 10, 'Subset': 10, 'Accurate': 5, 'Fast': 7}",9.825550053171945,90.57629111397428,0.10847816721495279,4,0,1,0,1
9,proposed,24,Fast,"{'Fast': 10, 'Accurate': 4, 'Balanced': 6}",8.111602191145263,81.768491486376,0.09920205257176343,3,0,0,0,1
9,best_all,24,Balanced,{'Balanced': 24},8.171543984674795,136.84690051306518,0.059713036641956194,1,0,0,0,1
9,primary_only,24,Fast,{'Fast': 10},5.348922078145136,81.768491486376,0.0654154428058191,1,0,0,0,1
9,random_residual,24,Fast,"{'Fast': 10, 'Balanced': 6, 'Subset': 8}",7.614572079210588,81.768491486376,0.09312354845728446,3,0,1,0,1
10,proposed,32,Fast,"{'Fast': 10, 'Accurate': 5, 'Balanced': 6}",9.002605264755799,85.72856462378716,0.1050129009422122,3,0,0,0,1
10,best_all,32,Fast,{'Fast': 32},6.129759376638567,137.93140679611892,0.04444063552327261,1,0,0,0,1
10,primary_only,32,Fast,{'Fast': 10},6.029252648600363,85.72856462378716,0.07032956488959366,1,0,0,0,1
10,random_residual,32,Fast,"{'Fast': 10, 'Balanced': 6, 'Accurate': 5, 'Subset': 8}",8.292240389756966,85.72856462378716,0.09672669111102919,4,0,1,1,1
11,proposed,32,Balanced,"{'Balanced': 10, 'Accurate': 5, 'Fast': 10}",9.319447964805692,86.05889539232064,0.1082915127172002,3,0,0,0,1
11,best_all,32,Balanced,{'Balanced': 32},7.679813992018938,138.54846525542604,0.05543052373666167,1,0,0,0,1
11,primary_only,32,Balanced,{'Balanced': 10},6.632789942538556,86.05889539232064,0.07707268275175219,1,0,0,0,1
