context_len,draft_len,classic_spec_sampling,target_only
256,75,20.579254341125488,19.323161697387697
256,76,19.75830078125,19.27511672973633
256,77,20.689500999450683,19.411299324035646
256,78,19.727033805847167,19.94275817871094
256,79,19.91353588104248,20.438025856018065
256,80,20.483916664123534,19.245878410339355
256,81,19.986966133117676,19.50485134124756
256,82,20.106441688537597,20.018086433410645
256,83,20.948690986633302,19.767267608642577
256,84,24.5336576461792,19.602054405212403
256,85,20.269366455078124,19.78152961730957
256,86,21.2138879776001,19.72364444732666
256,87,20.26542377471924,19.761503791809083
256,88,20.517679977416993,19.48662052154541
256,89,20.1584192276001,19.69849910736084
256,90,22.06640625,19.77520618438721
256,91,20.21340160369873,20.280342483520506
256,92,20.182796669006347,22.684329414367674
256,93,20.258284950256346,19.820624160766602
256,94,21.10206069946289,22.876774406433107
256,95,20.44080638885498,19.872781181335448
256,96,20.399871635437012,20.40565433502197
256,97,20.707302474975585,20.579913520812987
256,98,22.996259117126463,20.123257637023926
256,99,20.78142395019531,20.29869155883789
256,100,22.684940910339357,20.307730865478515
512,1,18.31262092590332,16.69615993499756
512,2,18.96015682220459,18.409919929504394
512,3,18.90931224822998,19.83561611175537
512,4,18.426502227783203,17.913820838928224
512,5,18.766111755371092,18.13519344329834
512,6,19.04399013519287,18.39924488067627
512,7,22.93946228027344,18.42737922668457
512,8,19.199075126647948,18.38084182739258
512,9,19.193344116210938,18.703363037109376
512,10,19.24860782623291,19.073695945739747
512,11,19.031407737731932,19.415392303466795
512,12,18.33417911529541,18.086425590515137
512,13,18.254175758361818,17.682253265380858
512,14,17.988809394836426,17.634986114501952
512,15,17.57603168487549,17.05985927581787
512,16,19.3393856048584,17.151081466674803
512,17,18.49372787475586,17.979715156555176
512,18,18.639046669006348,19.06708469390869
512,19,18.517471885681154,18.055881690979003
512,20,20.498979377746583,17.9183012008667
512,21,18.50666217803955,18.042524909973146
512,22,18.60031032562256,18.65987186431885
512,23,19.23158416748047,18.24939842224121
512,24,18.63819522857666,18.804131317138673
512,25,18.83370590209961,18.22340488433838
512,26,18.69303379058838,18.192227172851563
512,27,20.416384124755858,18.24708480834961
512,28,18.689270401000975,18.225635147094728
512,29,19.70253791809082,18.796694374084474
512,30,18.801772689819337,18.32781105041504
512,31,20.230067253112793,19.281772804260253
512,32,18.737199974060058,18.236188888549805
512,33,18.97880325317383,21.342742347717284
512,34,18.769452857971192,18.264214515686035
512,35,18.952668952941895,18.56815376281738
512,36,18.764512062072754,18.26286087036133
512,37,19.021020698547364,18.540134239196778
512,38,18.824237060546874,18.32950096130371
