t,policy,budget,primary,alloc,N_acc,time_ms,throughput,models_used,uses_new,no_delay_ok
132,random_residual,12,Balanced,{'Balanced': 12},6.656293139591264,98.21488762076633,0.0677727511667373,1,0,1
133,proposed,16,Fast,"{'Fast': 10, 'Diverse': 6}",8.341115099372866,82.79449222870039,0.10074480650636143,2,1,1
133,best_all,16,Fast,{'Fast': 16},5.849243389534548,95.27118756592063,0.061395722452680705,1,0,1
133,primary_only,16,Fast,{'Fast': 10},4.989733076324178,82.79449222870039,0.06026648563217477,1,0,1
133,random_residual,16,Fast,"{'Fast': 10, 'Diverse': 6}",8.324861072285135,82.79449222870039,0.100548488772534,2,1,1
134,proposed,24,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6}",10.82130720654484,99.02198712148278,0.10928186275709632,3,1,1
134,best_all,24,Accurate,{'Accurate': 24},8.83387697491051,153.44887712676115,0.05756886032872704,1,0,1
134,primary_only,24,Balanced,{'Balanced': 12},7.120922567151611,99.02198712148278,0.07191253956977732,1,0,1
134,random_residual,24,Balanced,"{'Balanced': 12, 'Accurate': 9, 'Diverse': 3}",9.823022552688677,99.02198712148278,0.09920041839432625,3,1,1
135,proposed,24,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 4, 'Balanced': 4}",10.13037124349789,81.86583495214018,0.1237435769075126,4,1,1
135,best_all,24,Balanced,{'Balanced': 24},7.287772156879802,137.39521971196723,0.053042399671238576,1,0,1
135,primary_only,24,Fast,{'Fast': 10},5.906194241083749,81.86583495214018,0.07214479940913797,1,0,1
135,random_residual,24,Fast,"{'Fast': 10, 'Balanced': 6, 'Diverse': 6, 'Accurate': 2}",10.184111734714723,81.86583495214018,0.12440002280155679,4,1,1
136,proposed,24,Fast,"{'Fast': 10, 'Diverse': 6, 'Accurate': 5, 'Balanced': 3}",9.865900686965826,83.25390230206273,0.11850376275661238,4,1,1
136,best_all,24,Balanced,{'Balanced': 24},7.630541613862062,136.82640843115414,0.055768047275036536,1,0,1
136,primary_only,24,Fast,{'Fast': 10},5.835546426119028,83.25390230206273,0.07009336817566142,1,0,1
136,random_residual,24,Fast,"{'Fast': 10, 'Diverse': 6, 'Balanced': 6, 'Accurate': 2}",10.025881642786246,83.25390230206273,0.12042536584543787,4,1,1
137,proposed,6,Balanced,{'Balanced': 6},4.704681597996094,82.19183494915355,0.05724025508016165,1,0,1
137,best_all,6,Balanced,{'Balanced': 6},5.279836352002036,82.19183494915355,0.06423796664557141,1,0,1
137,primary_only,6,Balanced,{'Balanced': 6},5.348908944646246,82.19183494915355,0.06507834930264363,1,0,1
137,random_residual,6,Balanced,{'Balanced': 6},5.243211729960359,82.19183494915355,0.0637923673708462,1,0,1
138,proposed,12,Balanced,{'Balanced': 12},6.527366335129674,99.59822822650523,0.06553697240763368,1,0,1
138,best_all,12,Balanced,{'Balanced': 12},6.9166675998644696,99.59822822650523,0.06944568917566142,1,0,1
138,primary_only,12,Balanced,{'Balanced': 12},6.612579689452883,99.59822822650523,0.06639254339358955,1,0,1
138,random_residual,12,Balanced,{'Balanced': 12},6.616284141330965,99.59822822650523,0.06642973734717732,1,0,1
139,proposed,16,Fast,"{'Fast': 10, 'Diverse': 6}",8.173992205499752,80.63226570706468,0.10137371353541887,2,1,1
139,best_all,16,Fast,{'Fast': 16},5.853893269339229,91.81162513130349,0.06375982628525899,1,0,1
139,primary_only,16,Fast,{'Fast': 10},5.380741866056191,80.63226570706468,0.06673186991426376,1,0,1
139,random_residual,16,Fast,"{'Fast': 10, 'Diverse': 6}",8.193764202877304,80.63226570706468,0.10161892551357886,2,1,1
140,proposed,32,Balanced,"{'Balanced': 12, 'Diverse': 6, 'Accurate': 6, 'Fast': 8}",11.723907585969853,96.49265790180965,0.12150051455624769,4,1,1
140,best_all,32,Balanced,{'Balanced': 32},7.744294160643569,153.6470877381591,0.05040313015135809,1,0,1
140,primary_only,32,Balanced,{'Balanced': 12},7.576463700319279,96.49265790180965,0.07851855120447654,1,0,1
140,random_residual,32,Balanced,"{'Balanced': 12, 'Fast': 10, 'Diverse': 6, 'Accurate': 4}",11.94774281290385,96.49265790180965,0.12382022707947171,4,1,1
141,proposed,12,Balanced,{'Balanced': 12},6.683969761565219,95.94215487764959,0.06966666289796143,1,0,1
