prompt_id,method,budget,round,selected_nodes,accepted_tokens,draft_time_s,comm_time_s,verify_time_s,total_round_time_s,round_tps,input_len,expansions,generated_candidates
1,bfs,16,4,16,3,0.02890961989760399,5.12e-08,0.029804926365613937,0.05871459746321793,51.09461921934091,14,16.0,64.0
1,bfs,16,5,16,1,0.028296485543251038,5.12e-08,0.03079863265156746,0.0590951693948185,16.921856900332035,17,16.0,64.0
1,bfs,16,6,16,2,0.028611280024051666,5.12e-08,0.030955228954553604,0.059566560178605274,33.57588542973053,18,16.0,64.0
1,bfs,16,7,16,2,0.028457511216402054,5.12e-08,0.030750058591365814,0.05920762100776787,33.77943524766188,20,16.0,64.0
1,bfs,16,8,16,2,0.028644606471061707,5.12e-08,0.030979711562395096,0.059624369233456806,33.54333179054827,22,16.0,64.0
1,bfs,16,9,16,1,0.029255565255880356,5.12e-08,0.03083188459277153,0.06008750104865189,16.642396214652294,24,16.0,64.0
1,bfs,16,10,16,3,0.028756987303495407,5.12e-08,0.030994128435850143,0.059751166939345554,50.20822443594034,25,16.0,64.0
1,bfs,16,11,16,2,0.02843300625681877,5.12e-08,0.030920974910259247,0.05935403236707802,33.6961099396061,28,16.0,64.0
1,bfs,16,12,16,2,0.028499893844127655,5.12e-08,0.030960816890001297,0.059460761934128956,33.635626839353556,30,16.0,64.0
1,greedy,16,1,16,4,0.029404494911432266,5.12e-08,0.03022122010588646,0.05962576621731873,67.08509179439561,8,16.0,64.0
1,greedy,16,2,16,2,0.028481345623731613,5.12e-08,0.02971867471933365,0.058200071543065265,34.364218925746435,12,16.0,64.0
1,greedy,16,3,16,3,0.028581969439983368,5.12e-08,0.02986615151166916,0.05844817215165253,51.32752470369905,14,16.0,64.0
1,greedy,16,4,16,1,0.03055182471871376,5.12e-08,0.030718650668859482,0.061270526587573246,16.321060968371338,17,16.0,64.0
1,greedy,16,5,16,2,0.0287485271692276,5.12e-08,0.030764836817979813,0.059513415187207416,33.60586841989713,18,16.0,64.0
1,greedy,16,6,16,2,0.029346060007810593,5.12e-08,0.03090522810816765,0.060251339315978245,33.19428286085607,20,16.0,64.0
1,greedy,16,7,16,2,0.028795890510082245,5.12e-08,0.03084605559706688,0.05964199730714913,33.53341756313492,22,16.0,64.0
